param\var,Food_Production1.P_Land_Yield_Fact_2.Smooth2.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Tech_PTD.Integrator1.y,Labor_Utilization1.Labor_Util_Fr_Del.Integrator1.y,NR_Resource_Utilization1.Res_Tech_NRTD.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth1.Integrator1.y,Industrial_Investment1.Industrial_Capital.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth3.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth1.Integrator1.y,Population_Dynamics1.Pop_65plus.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth2.Integrator1.y,Land_Fertility1.Land_Fertility.Integrator1.y,NR_Resource_Utilization1.NR_Resources.Integrator1.y,Population_Dynamics1.Pop_15_44.Integrator1.y,Human_Fertility1.Avg_Ind_Out_PC.Smooth_of_Input.Integrator1.y,Land_Fertility1.Yield_Tech_LYTD.Integrator1.y,Population_Dynamics1.Pop_45_64.Integrator1.y,Food_Production1.Agr_Inp.Integrator1.y,Arable_Land_Dynamics1.Pot_Arable_Land.Integrator1.y,Population_Dynamics1.Pop_0_14.Integrator1.y,Life_Expectancy1.Eff_Hlth_Serv_PC.Smooth_of_Input.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth3.Integrator1.y,Arable_Land_Dynamics1.Arable_Land.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth1.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth3.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth3.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth3.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth2.Integrator1.y,Service_Sector_Investment1.Service_Capital.Integrator1.y,Pollution_Dynamics1.Pers_Pollution.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth2.Integrator1.y,Arable_Land_Dynamics1.Urban_Ind_Land.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth2.Integrator1.y,Food_Production1.Perc_Food_Ratio.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth2.Integrator1.y
t_policy_year,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_yield_tech_chg_mlt[4],0,-6.04569261649697E-13,0,0,1.27383593253152E-14,0,0,0.00030954731061,0,-1.72055872504358E-16,0,5.29022243918327E-14,0,-6.4866517556575E-08,0,1.81988476529589E-14,1.39031766804329E-05,-2.67106601301875E-07,-9.30099458090511E-15,0,3.72851071819489E-07,-1.92717446245426E-05,5.85523536862989E-08,8.15027475390334E-07,1.25893516609466E-14,8.79086669776312E-11,299182.967980904,2.03250459787915E-08,3.00489408799603E-16,0,0,0,0,-7.46948065362688E-15,3.11025982558707E-06,2.41927262692008E-08,0,-6.46877635114821E-09,8.10173568373454E-15,-3.12491274352423E-16,3.31995405619965E-09
ppoll_in_1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
processing_loss,0,-3.70797700165187E-14,0,0,1.08563219783202E-14,0,0,0.00039310397007,0,6.42262682157248E-16,0,-2.25073984112726E-13,0,-7.2093982622235E-08,0,-1.57554220269713E-14,-1.0798495668074E-05,-2.45433894707154E-07,-7.06389795914206E-14,0,2.5029114731294E-08,-1.44053099835042E-05,1.98632214141378E-07,5.93233048776186E-07,-2.71660074546393E-14,-1.96495509197607E-10,312931.962347158,1.15222096102678E-08,3.36458959236985E-16,0,0,0,0,-1.1902612679567E-14,-7.37432288478683E-06,-4.65011232859244E-08,0,3.74427207367618E-09,1.14209462379784E-14,-3.78679968705286E-15,-4.01435953756479E-09
urban_ind_land_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ppoll_tech_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lifet_perc_del,0,2.98950198066943E-13,0,0,7.84395890957181E-15,0,0,-3.27209164353336E-05,0,-2.36932844367532E-15,0,1.8410709578429E-14,0,-1.21363437042818E-07,0,-6.75510218210977E-15,-1.83644708852418E-05,-1.72500947462845E-07,-1.73631504088482E-14,0,1.56101892323739E-07,476794.791739491,6096.05667859054,-2.69988092532012E-07,-2.41620060556094E-14,-5.31831165194399E-11,-6096.05667839348,3.76505968034574E-08,1.97258419056367E-16,0,0,0,0,-4.67603497478349E-15,1.00074468803653E-05,-1.34288172263188E-07,0,-1.93114128192057E-10,8.82288895648765E-15,3.10219594162821E-15,2.7723510417494E-09
t_fcaor_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pop2_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
land_fertility_init,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
