param_perturbed_5_percent,Population_Dynamics1.Pop_65plus.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth1.Integrator1.y,Land_Fertility1.Yield_Tech_LYTD.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth3.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth3.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth1.Integrator1.y,Arable_Land_Dynamics1.Urban_Ind_Land.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth3.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth3.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth1.Integrator1.y,Population_Dynamics1.Pop_15_44.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth3.Integrator1.y,Pollution_Dynamics1.Pers_Pollution.Integrator1.y,Life_Expectancy1.Eff_Hlth_Serv_PC.Smooth_of_Input.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth2.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth2.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth2.Integrator1.y,Land_Fertility1.Land_Fertility.Integrator1.y,Food_Production1.Perc_Food_Ratio.Integrator1.y,Food_Production1.Agr_Inp.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth3.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth1.Integrator1.y,NR_Resource_Utilization1.NR_Resources.Integrator1.y,Arable_Land_Dynamics1.Arable_Land.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth2.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth1.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth3.Integrator1.y,Population_Dynamics1.Pop_0_14.Integrator1.y,Pollution_Dynamics1.PPoll_Tech_PTD.Integrator1.y,Labor_Utilization1.Labor_Util_Fr_Del.Integrator1.y,Industrial_Investment1.Industrial_Capital.Integrator1.y,Human_Fertility1.Avg_Ind_Out_PC.Smooth_of_Input.Integrator1.y,NR_Resource_Utilization1.Res_Tech_NRTD.Integrator1.y,Population_Dynamics1.Pop_45_64.Integrator1.y,Service_Sector_Investment1.Service_Capital.Integrator1.y,Arable_Land_Dynamics1.Pot_Arable_Land.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth2.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth1.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth2.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth2.Integrator1.y
agr_inp_init,369161.14070264215,0.013392230321659503,0.0,0.001976226830858408,3.6496380693889504e-07,2.2601541233297825e-07,19529.731903964264,0.08133132839076705,0.01214923085997523,0.09152137989643229,760126.4360493913,3.6496380693889504e-07,505173.41688857315,0.010918922286227655,1.915134606703502e-07,1.915134606703502e-07,0.0021662189397326946,0.08902418871462575,0.0005485897231322617,115506671.36012545,3.6496380693889504e-07,192762.0170478011,163404777.2278827,211830.1012406556,0.01270550807463861,0.0024270689940066874,163610.30639275807,463842.9565564272,0.0,0.003555566311754839,2934621780.384848,0.09750185103397534,0.0,425621.516906471,1375025819.011944,390234.2317803606,1.915134606703502e-07,2.2601541233297825e-07,2.2601541233297825e-07,176076.64884631222,0.08577086951000785
agr_mtl_toxic_index,6284933.608688798,0.18282310595844153,0.0,0.009529758673456522,3.7146760177698974e-07,2.5534326120510684e-07,65384.793307076994,0.22557805680158535,0.16271448328498334,0.2552817880565414,8166011.47460054,3.7146760177698974e-07,24173938.689716868,0.05167872638253412,2.2012959946748188e-07,2.2012959946748188e-07,0.009858826578827033,5.023898657361156,0.007448350171478232,811753800.4616804,3.7146760177698974e-07,6957223.768971524,431126717.5006519,7650793.304716564,0.17111956990852875,0.010367157861802723,6742247.643616134,3811274.6559435376,0.0,0.0021652834940347676,13938007358.607794,0.2670625665644551,0.0,5411536.120223035,2340297680.9320974,375766.94134181854,2.2012959946748188e-07,2.5534326120510684e-07,2.5534326120510684e-07,6848395.810964989,0.24095644513733322
arable_land_init,15437344.782917833,0.5398677348390454,0.0,0.07745190219490983,2.386091976682233e-07,1.0660070845615387e-07,947367.9728284687,3.159844689527013,0.4908826564561804,3.599898148012796,32121334.083113626,2.386091976682233e-07,19820773.434436362,0.4192811643180945,2.0607761271825845e-07,2.0607761271825845e-07,0.08568997882623898,3.0893933652353875,0.014268728988130412,4480102029.994374,2.386091976682233e-07,7579281.057276104,6282495819.412527,38920297.93330319,0.514653344154646,0.09717922272847607,6366490.945380363,19317190.159581292,0.0,0.023112255209169277,116513697404.21124,3.85442924131178,0.0,17617600.52110416,53038950891.43124,6537149.501742389,2.0607761271825845e-07,1.0660070845615387e-07,1.0660070845615387e-07,6885639.105255946,3.353280220749442
assim_half_life_1970,13154870.101170404,0.3880683848156225,0.0,0.02008536569782277,2.1089614911584734e-07,8.776662728535021e-08,127204.75010160827,0.46299716568581195,0.33991486920095804,0.5214835044773106,16770679.689302377,2.1089614911584734e-07,46230454.02720513,0.10758016711027275,2.1060585889330582e-07,2.1060585889330582e-07,0.020846335987843547,9.677585102191511,0.01453689040703254,1583201495.285986,2.1089614911584734e-07,1503851.8550460562,835866024.7588288,14756236.344812214,0.35977132550304086,0.022013846701988513,1321344.170349146,7763141.5483567845,0.0,0.004284815697366606,27660493685.738876,0.5442261868517928,0.0,11153821.683598345,4564789474.375581,724330.5160733578,2.1060585889330582e-07,8.776662728535021e-08,8.776662728535021e-08,1403351.2958633094,0.49356549796464094
avg_life_land_norm,3898968.493437901,0.13732257244534413,0.0,0.017574727705419912,2.318072210751077e-07,1.2308195517291634e-07,243962.16001843286,0.5198513747796015,0.12317799571778197,0.6068149439176074,5708056.211689917,2.318072210751077e-07,3234711.730250617,0.06939062147249477,2.2044716274101295e-07,2.2044716274101295e-07,0.01909185318560409,0.586487358426693,0.006017467139887293,879647376.6398976,2.318072210751077e-07,1271185.8966110176,1128459611.443643,22260665.735770814,0.1292973890376492,0.02129777176110568,1050900.2132079902,2739125.5232708184,0.0,0.0038274995761809773,25113536888.375618,0.6539818787692323,0.0,3398501.020130734,7849770648.027402,4127546.3242767123,2.2044716274101295e-07,1.2308195517291634e-07,1.2308195517291634e-07,1146210.1334081439,0.5592327305004605
des_compl_fam_size_norm,19931969.37542169,2.919565304109353,0.0,0.6804233141885732,7.410707731443453e-07,3.0183209867950935e-07,903695.2961458918,10.10588576900943,2.7946775152489254,10.952576104784642,222396989.21561834,7.410707731443453e-07,60149895.18165125,2.042422381832304,6.507350087122006e-07,6.507350087122006e-07,0.7002375965558433,14.160719215090882,0.06909054249490564,15948632143.795057,7.410707731443453e-07,21891254.83748734,14634651613.499697,15240017.617731335,2.8544552675321615,0.7249008170017835,18841557.065573663,212754042.0369483,0.0,0.026655536411586262,198418626115.5019,11.46186630296898,0.0,58761629.538715266,122983004905.07281,11610503.327575438,6.507350087122006e-07,3.0183209867950935e-07,3.0183209867950935e-07,20213016.001281228,10.469207303160292
des_food_ratio_dfr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
des_ppoll_index_DPOLX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
des_res_use_rt_DNRUR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
food_short_perc_del,186921.5607536115,0.006330768484782451,0.0,0.0003905320919383686,3.687114181588627e-07,2.4994784657385106e-07,1120.7515533424946,0.0033119642202236866,0.005597793692206418,0.004079666242991468,236974.95372634672,3.687114181588627e-07,84392.99051784977,0.0010168323374383735,2.9246536330041504e-07,2.9246536330041504e-07,0.00040843747144930683,0.16726328810199076,0.0014643396785086662,27540406.135833174,3.687114181588627e-07,27297.644572211117,13164097.745229868,293098.5077607465,0.0059165240176160296,0.00043310839880630707,24478.988956925517,106607.6202963099,0.0,5.3984097092792624e-05,709991553.4996372,0.004324771328169001,0.0,156510.97670125982,106408646.85855916,36887.88094226861,2.9246536330041504e-07,2.4994784657385106e-07,2.4994784657385106e-07,25699.64158396096,0.0037294559133784484
