parameter,parameter_default,parameter_perturbed_2_percent,population_2100_std,population_2100_new,std/new,(new-std)/std,ABS((new-std)/std),perturbed_param_csv_path
agr_inp_init,5000000000.0,5100000000.0,3985193933.2464,3984763043.3112,1.0001,-0.00010812270177804647,0.00010812270177804647,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/agr_inp_init_perturbed.csv
agr_mtl_toxic_index,1.0,1.02,3985193933.2464,3980316072.8381,1.0012,-0.001223995742745787,0.001223995742745787,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/agr_mtl_toxic_index_perturbed.csv
arable_land_init,900000000.0,918000000.0,3985193933.2464,3975362553.2395,1.0025,-0.002466976556616541,0.002466976556616541,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/arable_land_init_perturbed.csv
assim_half_life_1970,1.5,1.53,3985193933.2464,3977011586.7617,1.0021,-0.0020531865253525486,0.0020531865253525486,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/assim_half_life_1970_perturbed.csv
avg_life_land_norm,1000.0,1020.0,3985193933.2464,3991693309.8980,0.9984,0.0016308808957556202,0.0016308808957556202,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/avg_life_land_norm_perturbed.csv
des_compl_fam_size_norm,3.8,3.876,3985193933.2464,4150162258.8393,0.9603,0.04139530681722506,0.04139530681722506,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/des_compl_fam_size_norm_perturbed.csv
des_food_ratio_dfr,2.0,2.04,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/des_food_ratio_dfr_perturbed.csv
des_ppoll_index_DPOLX,1.2,1.224,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/des_ppoll_index_DPOLX_perturbed.csv
des_res_use_rt_DNRUR,4800000000.0,4896000000.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/des_res_use_rt_DNRUR_perturbed.csv
food_short_perc_del,2.0,2.04,3985193933.2464,3985154803.7229,1.0000,-9.818725052373392e-06,9.818725052373392e-06,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/food_short_perc_del_perturbed.csv
fr_agr_inp_pers_mtl,0.001,0.00102,3985193933.2464,3980316072.8381,1.0012,-0.001223995742745787,0.001223995742745787,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/fr_agr_inp_pers_mtl_perturbed.csv
frac_res_pers_mtl,0.02,0.0204,3985193933.2464,3984379870.5144,1.0002,-0.0002042717984675082,0.0002042717984675082,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/frac_res_pers_mtl_perturbed.csv
hlth_serv_impact_del,20.0,20.4,3985193933.2464,3987880576.1607,0.9993,0.0006741561287368122,0.0006741561287368122,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/hlth_serv_impact_del_perturbed.csv
income_expect_avg_time,3.0,3.06,3985193933.2464,3988084678.9799,0.9993,0.000725371407752043,0.000725371407752043,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/income_expect_avg_time_perturbed.csv
ind_mtl_emiss_fact,0.1,0.10200000000000001,3985193933.2464,3984379870.5144,1.0002,-0.0002042717984675082,0.0002042717984675082,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/ind_mtl_emiss_fact_perturbed.csv
ind_mtl_toxic_index,10.0,10.2,3985193933.2464,3984379870.5144,1.0002,-0.0002042717984675082,0.0002042717984675082,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/ind_mtl_toxic_index_perturbed.csv
ind_out_in_1970,790000000000.0,805800000000.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/ind_out_in_1970_perturbed.csv
ind_out_pc_des,400.0,408.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/ind_out_pc_des_perturbed.csv
industrial_capital_init,210000000000.0,214200000000.0,3985193933.2464,3954178952.7951,1.0078,-0.007782552360264416,0.007782552360264416,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/industrial_capital_init_perturbed.csv
inherent_land_fert,600.0,612.0,3985193933.2464,3971013098.3621,1.0036,-0.003558380124481267,0.003558380124481267,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/inherent_land_fert_perturbed.csv
labor_force_partic,0.75,0.765,3985193933.2464,3984811294.2415,1.0001,-9.601515290867274e-05,9.601515290867274e-05,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/labor_force_partic_perturbed.csv
labor_util_fr_del_init,1.0,1.02,3985193933.2464,3985559515.2135,0.9999,9.173505058340289e-05,9.173505058340289e-05,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/labor_util_fr_del_init_perturbed.csv
labor_util_fr_del_time,2.0,2.04,3985193933.2464,3985181764.8350,1.0000,-3.0534050813752004e-06,3.0534050813752004e-06,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/labor_util_fr_del_time_perturbed.csv
land_fertility_init,600.0,612.0,3985193933.2464,3980345922.9940,1.0012,-0.0012165054784364984,0.0012165054784364984,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/land_fertility_init_perturbed.csv
land_fr_harvested,0.7,0.714,3985193933.2464,3970209773.7253,1.0038,-0.0037599574254329206,0.0037599574254329206,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/land_fr_harvested_perturbed.csv
life_expect_norm,28.0,28.56,3985193933.2464,4186610722.7257,0.9519,0.05054127674917377,0.05054127674917377,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/life_expect_norm_perturbed.csv
lifet_perc_del,20.0,20.4,3985193933.2464,3996044533.8449,0.9973,0.002722728374144825,0.002722728374144825,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/lifet_perc_del_perturbed.csv
max_tot_fert_norm,12.0,12.24,3985193933.2464,4040493081.0600,0.9863,0.013876149753272223,0.013876149753272223,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/max_tot_fert_norm_perturbed.csv
nr_resources_init,1000000000000.0,1020000000000.0,3985193933.2464,4034623020.0602,0.9877,0.012403182289693221,0.012403182289693221,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/nr_resources_init_perturbed.csv
p_avg_life_agr_inp_1,2.0,2.04,3985193933.2464,3985461146.0535,0.9999,6.705139362242181e-05,6.705139362242181e-05,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_avg_life_agr_inp_1_perturbed.csv
