param_perturbed_5_percent_2100yr,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth3.Integrator1.y,Pollution_Dynamics1.Pers_Pollution.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth2.Integrator1.y,Labor_Utilization1.Labor_Util_Fr_Del.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth3.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Tech_PTD.Integrator1.y,Population_Dynamics1.Pop_0_14.Integrator1.y,NR_Resource_Utilization1.Res_Tech_NRTD.Integrator1.y,Food_Production1.Perc_Food_Ratio.Integrator1.y,Arable_Land_Dynamics1.Arable_Land.Integrator1.y,Population_Dynamics1.Pop_45_64.Integrator1.y,Population_Dynamics1.Pop_65plus.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth3.Integrator1.y,Arable_Land_Dynamics1.Pot_Arable_Land.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Avg_Ind_Out_PC.Smooth_of_Input.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth2.Integrator1.y,Pollution_Dynamics1.PPoll_Appear_Rate.Smooth1.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth2.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth1.Integrator1.y,NR_Resource_Utilization1.P_Nr_Res_Use_Fact_2.Smooth2.Integrator1.y,Land_Fertility1.Land_Fertility.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth1.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth3.Integrator1.y,Service_Sector_Investment1.Service_Capital.Integrator1.y,Land_Fertility1.Yield_Tech_LYTD.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth1.Integrator1.y,Industrial_Investment1.Industrial_Capital.Integrator1.y,NR_Resource_Utilization1.NR_Resources.Integrator1.y,Human_Fertility1.Del_Ind_Out_PC.Smooth2.Integrator1.y,Arable_Land_Dynamics1.Urban_Ind_Land.Integrator1.y,Human_Fertility1.Perc_Life_Expectancy.Smooth2.Integrator1.y,Food_Production1.Agr_Inp.Integrator1.y,Life_Expectancy1.Eff_Hlth_Serv_PC.Smooth_of_Input.Integrator1.y,Population_Dynamics1.Pop_15_44.Integrator1.y,Pollution_Dynamics1.P_PPoll_Gen_Fact_2.Smooth1.Integrator1.y,Food_Production1.P_Land_Yield_Fact_2.Smooth3.Integrator1.y,Human_Fertility1.Fert_Cont_Facil_PC.Smooth1.Integrator1.y,nr_resources,population
agr_inp_init,1.0,1.00129034431,1.0,0.999881192547,1.00093967448,1.0,1.0,1.00010998682,1.0,0.999961720904,1.0000142495,1.00040530897,1.00059315464,1.00122740615,1.00170989581,1.0000830945,1.0,1.00095008338,1.00126948068,1.00129651104,1.00161978102,1.0,1.00016451618,1.0,0.999835586556,1.0,1.00030947833,1.00091921213,1.0,1.00094338224,1.00116375367,1.00004077196,1.00093753661,0.999987058062,1.00023993181,1.00136571288,1.00065600062,1.00023615824,1.0,1.0,1.00142779553,1.00004077196,1.0002638176
agr_mtl_toxic_index,1.0,0.961032986959,1.0,0.991621695736,0.992417935224,1.0,1.0,1.00209262162,1.0,0.99663190779,0.992220633255,1.00356750168,1.00419331659,0.963564872311,1.00049996038,1.00159479606,1.0,0.992284527642,0.964557208654,0.965530891547,0.994964879371,1.0,0.995738520129,1.0,1.00561085076,1.0,0.999704251181,1.00097719965,1.0,0.992124600377,1.00103687894,0.99618665557,0.992068215868,1.00098509999,0.997409562228,0.998486670885,0.995803754529,1.00352028409,1.0,1.0,0.988581782333,0.99618665557,1.00317643162
arable_land_init,1.0,1.06176546062,1.0,0.982401947718,1.04957132971,1.0,1.0,0.999356767679,1.0,0.992926955205,0.981063374129,1.01143402826,1.01903231977,1.05942665759,1.07521388086,0.981711401657,1.0,1.05604400967,1.0641728495,1.06868053052,1.07100959431,1.0,1.00419153438,1.0,0.992279509077,1.0,1.01294168085,1.04172614026,1.0,1.05421404662,1.05171010656,1.0078332267,1.051610527,0.991786460925,1.00857513138,1.0780792348,1.03101075683,1.00493085895,1.0,1.0,1.06058026101,1.0078332267,1.0057858893
assim_half_life_1970,1.0,0.934960211021,1.0,0.984158214702,0.984832352485,1.0,1.0,1.0035629507,1.0,0.992811658891,0.985140791336,1.00625711047,1.0072344194,0.99220895744,0.999819106669,1.00324339211,1.0,0.98521306999,0.994079201395,0.995293066185,0.988141435585,1.0,0.990817484547,1.0,1.00954514178,1.0,0.998242998618,1.00178578604,1.0,0.984768507605,1.00176281769,0.99251713465,0.984406208409,1.00194760334,0.993798652588,0.997423211765,0.991673437148,1.00638263929,1.0,1.0,0.97560111267,0.99251713465,1.00561813934
avg_life_land_norm,1.0,1.01512064935,1.0,0.984996189163,1.01334677177,1.0,1.0,0.995442984275,1.0,0.992662234353,0.978696164832,0.996399993154,0.996204078289,1.01482567028,1.00690333675,0.98205830202,1.0,1.01866680286,1.01713946804,1.01975863275,1.0057544572,1.0,0.996387887161,1.0,0.997357226172,1.0,0.999493469011,1.00779126369,1.0,1.01724599752,1.00814358314,1.00533815812,1.01514896977,0.996217730987,0.997985878778,1.02604197267,1.00720605502,0.996688673317,1.0,1.0,1.0022714879,1.00533815812,0.99622875188
des_compl_fam_size_norm,1.0,0.824551634868,1.0,1.08906935891,0.963413353731,1.0,1.0,0.870662757516,1.0,1.07009921574,0.988890991097,0.939362197525,0.988639445543,0.833479526683,1.30725492889,1.05162498595,1.0,0.95302172068,0.828724407877,0.824444952558,1.34045751219,1.0,1.08342368637,1.0,1.0413878671,1.0,1.08690907474,0.876963492452,1.0,0.955853420385,0.90061483033,0.967817913565,0.959819115903,0.989317654996,1.08536120147,0.801568466302,0.998285939325,0.896476298487,1.0,1.0,1.40788097657,0.967817913565,0.90412527697
des_food_ratio_dfr,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
des_ppoll_index_DPOLX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
des_res_use_rt_DNRUR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
food_short_perc_del,1.0,1.00008382913,1.0,1.00021505604,1.00015839738,1.0,1.0,1.00005353807,1.0,1.00037746276,1.0002919126,1.0000068412,1.00000726052,1.00007056742,0.999969017673,0.99984278337,1.0,1.00016230513,1.00004283363,1.00003256859,1.00017913264,1.0,1.00019224562,1.0,0.99999757993,1.0,1.0000838088,0.99999172218,1.0,1.0001674483,0.999957515575,1.00015127064,1.00016936668,0.99997976247,1.00014910093,0.999991215848,1.00005396885,0.999996926127,1.0,1.0,1.00040973769,1.00015127064,1.00001614185
